,Label,Array_Index,Indentation_Number,PEAK_HARDNESS_AVERAGE,VALLEY_HARDNESS_AVERAGE,STRAIN_RATE_SENSITIVITY,ACTIVATION_VOLUME,Area Mean,equivalent_diameter Mean,Aspect Ratio Mean,OrientMax0,OrientMax1,OrientMax2,OrientMax3,OrientMode0,OrientMode1,OrientMode2,OrientMode3,R_Max,G_Max,B_Max,R_Mode,G_Mode,B_Mode
162,Carl,11,3,2.4443329441857404,2.339283532584623,0.0095387487618222,56.68872540615029,5.108606973031701,2.1547212112722907,4.536002767637325,0.45061920814159934,-0.39238645193917504,-0.6297675535894187,-0.4963547421294795,0.679403150401526,-0.046185507070537486,-0.07391226170625075,-0.7285706799827903,1.0,0.2814584565998359,0.34685225723532875,1.0,0.3017148848315827,0.14894129930548172
163,Carl,11,4,2.556678268804514,2.4377787433927383,0.0103408971126025,50.08529031305629,5.666753584954778,2.3224158473149563,4.287680982615026,0.011831918639973323,-0.6260986740947954,-0.7377261958029192,0.25223107664241046,0.013545542219326061,-0.6078768187253739,-0.750665354967537,0.25846434259635337,0.9875463806753564,0.0907003338817085,1.0,0.950289482486327,0.13964592533147901,1.0
167,Carl,11,8,2.876318755353591,2.821633650834949,0.0041681935295884,108.89834262460424,5.641871693364951,2.253815005806274,4.171473209973681,0.3721615809606191,-0.17620564475183936,-0.1549493906089512,0.898018938978681,0.3563747686555554,-0.17484024075155055,-0.1546855782539404,0.9047100565152812,1.0,0.8834005455030853,0.6789821873500044,1.0,0.8668771596531267,0.7160141853639601
169,Carl,11,10,2.8052917148552274,2.733648414276922,0.0056176858213041,83.12176016827375,1.1172056702522928,1.1426524340067172,1.6523421222378365,0.2548728406555602,-0.33725730708927215,-0.42766772009333753,0.7989979130768894,0.25219310365473185,-0.3390457709810435,-0.42623895134298756,0.7998543367431934,0.5056645629259295,0.39060662487606157,1.0,0.5060112637980008,0.38817128014674784,1.0
172,Carl,11,13,2.6539555738091347,2.5396178992077085,0.0095626346750608,52.08359597212869,2.602899342450054,1.656211304625298,2.2775535556159,0.34010265593631506,0.34710740622124736,0.41694896603699194,0.7681146995677832,0.3245339562478208,0.3298824982214083,0.41471913866213583,0.7834942786240857,0.6645716364265795,0.026052579955189836,1.0,0.5251104654650818,0.00987805502333905,1.0
175,Carl,11,16,2.4466957640009754,2.322969986754165,0.0112681857059439,48.13158083019377,7.32062371485176,2.5330921042156485,5.0427655226274535,0.3828304903166798,-0.48758406734664383,0.5028822552024759,0.6023388003076557,0.05914851671496401,-0.6964037183913148,0.7086655723282796,0.09652160679247956,1.0,0.35432466673818497,0.08485184188580619,1.0,0.39962389716098234,0.22836938438137078
177,Carl,12,2,2.650410937335256,2.565274175324044,0.0070897129693411,69.94765959679242,2.9390425955891795,1.7278161161854375,2.751734633933264,0.8102707469728719,-0.005370837918450999,-0.18214726812303944,0.5570052454110209,0.8029504137428574,-0.004320442646953195,-0.16499104816830512,0.5727389639878123,1.0,0.3997941538832068,0.6179708468701477,1.0,0.32754804326631004,0.5477882622339815
179,Carl,12,4,2.7534330616830305,2.661042483517187,0.0074113573803883,64.45589330162868,3.101437494738779,1.7729411654283376,2.6400453892902265,0.17769697162955628,-0.5615831556861854,-0.6071890838619973,0.5332631263851448,0.2563938423115525,-0.35299491381533227,-0.3852263502808872,0.8131773776332518,0.6858796655460085,0.30079302944492614,1.0,0.4716936614164322,0.03186701955031768,1.0
180,Carl,12,5,2.9372150948179887,2.868006044205907,0.0051778445978178,86.04535383257874,3.282053512682253,1.7663801323084984,3.09483560434796,0.5998544896965743,-0.07472727195308575,-0.7282809749913958,0.322795984304164,0.4827349644530333,-0.08716480352136509,-0.8293177082829709,0.26758436024904714,1.0,0.7670627632003029,0.33056760312225886,0.8349632259671369,0.11717241030830228,1.0
181,Carl,12,6,2.730730896986091,2.6540965392727305,0.0061810942465239,77.7081902429147,1.88454129490944,1.4067113797725257,1.9689260406245488,0.18020064189799617,-0.5673307149606684,-0.6179202056892453,0.5136518353152529,0.28354754938763943,-0.38844803109722437,-0.40224971153343786,0.779040489284235,0.6170420796834427,0.08637033727703747,1.0,0.7571469258421343,0.12006137982616605,1.0
183,Carl,12,8,2.6419510289945705,2.5427644986884874,0.0083093119955964,60.03957624040588,1.96051103530987,1.4648152887382009,2.2391662525678853,0.7290192832870936,-0.03037824833941571,-0.5739816519247022,0.3716895342583529,0.2886150743446619,-0.3753121280208273,-0.4242131914354244,0.7719360813135213,0.9114295607183233,0.16282209629444466,1.0,0.7305565959302988,0.301168331126648,1.0
185,Carl,12,10,2.889973032568652,2.8294614450670856,0.0045950048502216,98.41284114681808,2.4594155918657785,1.5564280487403328,2.7083915888842136,0.7548896114656333,0.568253630341894,-0.010628420188081498,0.3272866064916633,0.7499229139611311,0.56621214365375,-0.01482678678523826,0.3417595615175911,0.9337595706089367,0.007423025238215697,1.0,0.9003786789193409,0.024188269261609996,1.0
187,Carl,12,12,2.528599522516566,2.422311805113673,0.0093250029403286,56.02827301070001,3.944971665024376,1.9568815966399933,3.557517185722066,0.3995990302809281,-0.4623009889335028,0.5166292259325289,0.5997438232629022,0.4039895028903666,-0.4552041537560831,0.5329755859179355,0.5878083741943766,1.0,0.25720237328237694,0.17310180067412828,1.0,0.17863741544889677,0.07795211610882591
190,Carl,12,15,2.524425001639476,2.432718209232032,0.008035333413215,64.93649043873863,3.192794850825248,1.7811987823424116,4.087105980054521,0.7433338213735456,0.5914338447477822,-0.022645666460633637,0.3116857569405632,0.7419171850403188,0.587225810974839,-0.025638832607377107,0.3225947732517114,1.0,0.13435288610105878,0.8719539864213409,1.0,0.11998413437007338,0.9094330527000112
191,Carl,12,16,2.74160356171313,2.6114117520781384,0.0105646507011792,45.74110510506994,2.997138871352597,1.7376157836021535,3.478035831528337,0.7501479399051224,0.584772945922348,-0.008271923744018434,0.3086263845671216,0.7501074952546006,0.5876957297515473,-0.010258267120849485,0.3030631002783793,1.0,0.12297605037300063,0.9451373586761584,1.0,0.11998413437007338,0.909433052700012
193,Carl,13,2,2.775787026010206,2.692364985366459,0.0066261038466959,71.38541807871448,1.7068702139901786,1.3866126939156893,1.9119175552085743,0.07988743219221738,-0.7080801063308345,-0.6305252806697834,0.3076986051845843,0.32199206936359076,0.3000174467551733,-0.8966576316777032,0.04812203719286652,0.6951080055512504,0.8643854414015577,1.0,0.6363175269723449,0.86019028493305,1.0
